datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Coal,13588.8,0.18,False
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Gas,27761.2,0.36,False
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Hydro,562.9,0.01,True
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Multiple Fuels,3.3,0.00,False
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Nuclear,31507.0,0.41,False
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Oil,214.8,0.00,False
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Other,38.9,0.00,False
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Other Renewables,680.8,0.01,True
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Solar,7.8,0.00,True
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Storage,0.0,0.00,False
10/1/2021 4:00:00 AM,10/1/2021 12:00:00 AM,Wind,2979.9,0.04,True
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Coal,14824.9,0.18,False
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Gas,30949.7,0.37,False
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Hydro,1211.1,0.01,True
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Multiple Fuels,3.2,0.00,False
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Nuclear,31513.8,0.38,False
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Oil,212.2,0.00,False
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Other,39.8,0.00,False
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Other Renewables,673.9,0.01,True
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Solar,7.8,0.00,True
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Storage,0.0,0.00,False
10/1/2021 3:00:00 AM,9/30/2021 11:00:00 PM,Wind,3374.5,0.04,True
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Coal,15614.6,0.18,False
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Gas,33766.1,0.39,False
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Hydro,1209.8,0.01,True
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Multiple Fuels,80.2,0.00,False
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Nuclear,31497.0,0.37,False
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Oil,209.9,0.00,False
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Other,46.2,0.00,False
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Other Renewables,683.1,0.01,True
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Solar,7.8,0.00,True
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Storage,0.0,0.00,False
10/1/2021 2:00:00 AM,9/30/2021 10:00:00 PM,Wind,2760.4,0.03,True
10/1/2021 1:00:00 AM,9/30/2021 9:00:00 PM,Coal,16451.3,0.18,False
10/1/2021 1:00:00 AM,9/30/2021 9:00:00 PM,Gas,37700.5,0.41,False
