datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Coal,23307.0,0.25,False
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Gas,34210.8,0.37,False
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Hydro,529.4,0.01,True
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Multiple Fuels,3.2,0.00,False
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Nuclear,31911.3,0.35,False
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Oil,217.0,0.00,False
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Other,47.3,0.00,False
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Other Renewables,624.9,0.01,True
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Solar,0.0,0.00,True
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Storage,0.0,0.00,False
8/1/2021 3:00:00 AM,7/31/2021 11:00:00 PM,Wind,1348.9,0.01,True
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Coal,23487.7,0.24,False
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Gas,39004.3,0.40,False
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Hydro,453.2,0.00,True
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Multiple Fuels,329.2,0.00,False
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Nuclear,31896.6,0.33,False
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Oil,218.5,0.00,False
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Other,47.2,0.00,False
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Other Renewables,640.6,0.01,True
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Solar,0.0,0.00,True
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Storage,0.0,0.00,False
8/1/2021 2:00:00 AM,7/31/2021 10:00:00 PM,Wind,1137.7,0.01,True
