datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Coal,14175.0,0.17,False
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Gas,30747.4,0.37,False
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Hydro,1921.0,0.02,True
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Multiple Fuels,3.2,0.00,False
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Nuclear,27611.3,0.34,False
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Oil,204.4,0.00,False
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Other,46.2,0.00,False
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Other Renewables,598.5,0.01,True
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Solar,0.0,0.00,True
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Storage,0.0,0.00,False
4/1/2021 3:00:00 AM,3/31/2021 11:00:00 PM,Wind,6786.1,0.08,True
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Coal,15541.8,0.18,False
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Gas,33137.4,0.38,False
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Hydro,1991.4,0.02,True
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Multiple Fuels,3.2,0.00,False
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Nuclear,27508.1,0.32,False
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Oil,201.5,0.00,False
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Other,46.3,0.00,False
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Other Renewables,592.4,0.01,True
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Solar,0.0,0.00,True
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Storage,0.0,0.00,False
4/1/2021 2:00:00 AM,3/31/2021 10:00:00 PM,Wind,7249.0,0.08,True
4/1/2021 1:00:00 AM,3/31/2021 9:00:00 PM,Coal,16012.7,0.18,False
4/1/2021 1:00:00 AM,3/31/2021 9:00:00 PM,Gas,34629.9,0.39,False
4/1/2021 1:00:00 AM,3/31/2021 9:00:00 PM,Hydro,2393.0,0.03,True
4/1/2021 1:00:00 AM,3/31/2021 9:00:00 PM,Multiple Fuels,530.7,0.01,False
4/1/2021 1:00:00 AM,3/31/2021 9:00:00 PM,Nuclear,27512.9,0.31,False
4/1/2021 1:00:00 AM,3/31/2021 9:00:00 PM,Oil,203.1,0.00,False
4/1/2021 1:00:00 AM,3/31/2021 9:00:00 PM,Other,46.3,0.00,False
4/1/2021 1:00:00 AM,3/31/2021 9:00:00 PM,Other Renewables,613.3,0.01,True
