datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Coal,13625.8,0.19,False
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Gas,23625.4,0.33,False
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Hydro,666.8,0.01,True
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Multiple Fuels,0.0,0.00,False
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Nuclear,32784.7,0.46,False
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Oil,214.6,0.00,False
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Other,43.4,0.00,False
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Other Renewables,756.9,0.01,True
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Solar,0.0,0.00,True
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Storage,0.0,0.00,False
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,Wind,256.6,0.00,True
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Coal,14853.2,0.20,False
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Gas,26439.4,0.35,False
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Hydro,773.4,0.01,True
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Multiple Fuels,9.0,0.00,False
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Nuclear,32761.2,0.43,False
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Oil,212.9,0.00,False
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Other,44.7,0.00,False
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Other Renewables,757.6,0.01,True
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Solar,0.0,0.00,True
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Storage,0.0,0.00,False
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,Wind,236.3,0.00,True
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Coal,16342.9,0.21,False
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Gas,27047.6,0.34,False
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Hydro,2008.4,0.03,True
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Multiple Fuels,140.0,0.00,False
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Nuclear,32710.8,0.41,False
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Oil,215.2,0.00,False
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Other,44.1,0.00,False
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Other Renewables,751.9,0.01,True
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Solar,0.0,0.00,True
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Storage,0.0,0.00,False
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,Wind,253.9,0.00,True
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Coal,15800.9,0.20,False
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Gas,26852.5,0.34,False
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Hydro,2355.9,0.03,True
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Multiple Fuels,164.0,0.00,False
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Nuclear,32735.2,0.41,False
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Oil,215.1,0.00,False
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Other,44.9,0.00,False
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Other Renewables,761.2,0.01,True
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Solar,12.3,0.00,True
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Storage,0.0,0.00,False
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,Wind,388.1,0.00,True
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,Coal,15132.7,0.19,False
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,Gas,26671.6,0.33,False
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,Hydro,3000.6,0.04,True
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,Multiple Fuels,164.0,0.00,False
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,Nuclear,32712.0,0.41,False
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,Oil,214.4,0.00,False
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,Other,43.9,0.00,False
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,Other Renewables,742.1,0.01,True
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,Solar,542.4,0.01,True
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,Storage,0.0,0.00,False
